id,user_description,user_location,coordinates,text,geo,user_name,user_created,user_followers,id_str,created,retweet_count,user_bg_color,polarity,subjectivity
366,🇨🇦This acct used to be 4 TV shows I watch. tRump/Ford’s impact on our lives changed that. Custom cake designer when not mad about our political situation.,"Ontario, Canada",,Retweeting mainly for the pic 😂 Never gets old.,,Cre8iv_Canuck,2015-05-26T01:43:15,401,1257400329043193858,2020-05-04T20:02:54,0,C0DEED,0.13333333333333333,0.26666666666666666
367,I have never been paid not one dime. I have never been contacted or directed by anyone Nobody .. This all Me .. Don't Follow ..Lead.,,,We The People #Meltingpot Majority didn't even vote for #Trump #Un #ap #aclu,,sethrow991,2013-04-14T18:57:19,176,1257400329089568770,2020-05-04T20:02:54,0,000000,0.0,0.0
368,,"Las Palmas, Islas Canarias",,@laSextaTV Lo que hace la droga dura en un cerebro de mosquito!! Hay que tener mas sensibilidad con clientes como T… https://t.co/gM6gBUccIX,,hachynegro,2013-01-27T09:00:37,42,1257400329454436361,2020-05-04T20:02:54,0,C0DEED,0.0,0.0
369,"A conservative in an ocean of liberals. Self-appointed skeptic. #MAGA, Trump 2020 if you havent already figured that out.","Red MAGA Hat, California",,@NoodleSparklez @GA_peach3102 @donlemon If Obama would shut his pie hole Trump wouldnt even mention him.,,slorob,2009-05-12T03:03:55,681,1257400329634750467,2020-05-04T20:02:54,0,C0DEED,0.0,0.0
370,"Harvard Prof, CEO, CNN Analyst, Advisor, Former Department of Homeland Security and mother of 3. Author of ""Security Mom."" http://Instagram.com/juliettekayyem","Cambridge, MA",,"It’s chicken/egg defense. Their models, criticized from start, let Trump justify ending social distancing. Then whe… https://t.co/utqttg8PfQ",,juliettekayyem,2009-02-21T03:46:53,144275,1257400329655783426,2020-05-04T20:02:54,0,002EB8,0.03333333333333333,0.06666666666666667
371,A Neuro girl living in an aspie world. 🌊💙,"St Augustine, FL",,@realDonaldTrump Listen up all you trump supporters; @realDonaldTrump is letting you know that HE will be throwing… https://t.co/AeCCbbzdH0,,Kris10withaK,2016-12-15T21:26:40,318,1257400329567637504,2020-05-04T20:02:54,0,F5F8FA,0.0,0.0
372,circumstances made me what I am,,,@PepperGii @SahilCDesaiTGDN remember when Trump said her face was bleeding? That was funny,,BobbyStrake,2015-02-05T00:42:13,178,1257400330725339139,2020-05-04T20:02:54,0,C0DEED,0.25,1.0
373,http://WhatsGoon.com Digital is a collection of innovative and powerful news brands collection that deliver latest world and local all kind News.,worldwide,,"Trump compares himself to Lincoln. Historian says he's wrong
https://t.co/qTZ7GiiReg",,Whats_Goon,2020-04-22T20:42:44,0,1257400330888847360,2020-05-04T20:02:54,0,F5F8FA,-0.5,0.9
374,Writer-Reader-Editor-RWA-ACFW | Christian | Mother | Retired I.T. | USA | #KAG2020 | History-Nature-Animals | RT≠Endorsement |🙏🏼🕊️🙏🏾| IFBAP🇺🇸,United States,,"This is so cute! 👍 😂
Imitation is the sincerest form of flattery, right? Love our #POTUS",,RKFollowsChrist,2012-05-03T03:43:35,17297,1257400331564191747,2020-05-04T20:02:55,0,000000,0.31934523809523807,0.5339285714285714
375,"Pity the rich, because in this cruel world they have no voice. See for yourself which RTs are endorsements.",,,I'm not the target audience (obviously!) but does Trump's campaign manager Brad Parscale really thinks this ad is e… https://t.co/tfB2j5bfml,,oliver_drk,2017-08-03T00:48:20,314,1257400331769655297,2020-05-04T20:02:55,0,F5F8FA,0.1,0.35
376,"Pro-Life Republican. Jewish Christian (Tribe of Benjamin). Licensed Minister, Intercessor & Evangelist. Marine Corps 1973-1976, weapons repair.","Florida, USA",,"@HeWhoWaits1776 President Trump &amp; John Kennedy Jr., who will be our 46th President, have taken away the dominion of… https://t.co/U3zbmFmmqJ",,ReginaT01716957,2018-10-25T22:53:15,2387,1257400332243566594,2020-05-04T20:02:55,0,F5F8FA,0.0,0.0
377,,,,#dumbestmanontv,,ymustberight,2017-01-20T18:03:47,44,1257400332314787840,2020-05-04T20:02:55,0,F5F8FA,0.0,0.0
378,,,,"bozo pendurado no saco do trump, datena pendurado no saco do bozo 

#BrasilUrgente",,Janetepro,2010-06-10T23:41:01,108,1257400332944134145,2020-05-04T20:02:55,0,642D8B,0.0,0.0
379,,,,"@WhiteHouse Hey loser - Get Arpaio to investigate.

Then add Alex jones.

maybe the national enquirer.

TRUMP NEEDS… https://t.co/Pf3Sc588KZ",,barb89118544,2020-03-04T18:28:18,5,1257400333099249669,2020-05-04T20:02:55,0,F5F8FA,0.0,0.0
380,"Daily News. With swearing. Brought to you by the team behind @muellershewrote. 

Get early-access, ad-free episodes: https://www.patreon.com/muellershewrote","San Diego, CA",,"""You're either on Trump's side or on our side. There is no middle ground anymore.""

Listen to our full chat with… https://t.co/JlQ5J5E1Tx",,dailybeanspod,2019-01-29T18:45:17,17306,1257400333111787521,2020-05-04T20:02:55,0,F5F8FA,0.175,0.275
381,"IMPEACHTRUMP! Writer-director; pro-environ., pro-science, pro-indigenous peoples, pro-union, pro-women, pro-LGBTQ / anti-gun, anti-fascist, anti-sexual assault.","Asheville, North Carolina",,"Under Trump, America has gone a bit late Weimar. We know how that ended https://t.co/QitJjWR1VC",,Hapjamlaw,2009-03-16T13:44:05,646,1257400333967425542,2020-05-04T20:02:55,0,000000,-0.3,0.6
382,Finding it difficult to formulate a profile nevermind a tweet. All opinions  blah blah blah.,"Kent originally, now Scottish Borders ",,"It's not a Hollywood blockbuster.
#COVIDー19 
#Trump",,emmadora,2009-02-17T20:40:07,264,1257400333988478982,2020-05-04T20:02:55,0,020812,0.0,0.0
383,"Activista/Advocacy en VIH/sida .Presidente Red Argentina de Pvvs (Redar+),Coordinador Programa VIH Guaymallen , Gral San Martin y...","Mendoza,Argentina",,"@CeciRanua @radiomitremza @cingolani_oscar Pais con los mejores  profesionales,  tecnología, recursos económicos pe… https://t.co/nfun96bq8D",,GusGranella,2010-05-22T01:09:40,698,1257400334265303048,2020-05-04T20:02:55,0,0099B9,0.0,0.0
384,"Retired Navy Nurse, attorney, professor, occupationally challenged, grandma, musician, Veteran Service Corps volunteer, believer in peace and human rights","Brentwood, CA",,@IBda14U He asked for it and you gave it to him.  Don't think Trump supporters deserve a break for the havoc they have caused.,,NAHoffman10,2017-06-14T02:39:27,180,1257400334365925378,2020-05-04T20:02:55,0,F5F8FA,0.0,0.0
385,"I really only joined Twitter so that I could give 45 a hard time, since he can’t block me anymore...  (Then I expanded on the theme)",,,"@WalkerBragman The DNC is part of the problem, and once Trump is voted out of office, they will need to be dealt with.",,CrystalA_AkaMe,2018-06-07T23:13:44,360,1257400334818910210,2020-05-04T20:02:55,0,F5F8FA,0.0,0.0
386,Conservative beer and BBQ guy.,,,@SoulSoldSeprtly @Aesop_Rockz @FagDotOrg @BabeTruth2 @SanExuperyB612 @odktiger @cshea32 @mrkmrte @egheitasean… https://t.co/D0fsiL3DHC,,Ron40251520,2019-12-08T04:29:49,1278,1257400335628460033,2020-05-04T20:02:56,0,F5F8FA,0.0,0.0
387,I love colors.,,,"Hundreds of thousands of people are DYING worldwide, probably the biggest crisis after perl harbor and WW2, but Ame… https://t.co/iSkC6wk7VO",,HallOfColors,2020-05-03T14:54:44,0,1257400336236580866,2020-05-04T20:02:56,0,F5F8FA,0.0,0.0
388,"Learning is not attained by chance, it must be sought for with ardor and attended to with diligence.",,,"@SenSchumer Think for yourselves, actually do the research.... Im reading a ton of sound bites on here. Pick 1 topi… https://t.co/b12XuljlKi",,JoyMacinnes,2020-04-04T16:25:10,468,1257400336098131971,2020-05-04T20:02:56,0,F5F8FA,0.2,0.25
389,"Love USA Values & Culture.  💯 #Trump 💯 ❤️VERYMARRIED!  
🚫Lists 💥I SCREEN💥 #ProLife #BackTheBlue #MAGA! #USAfirst  #SupportOurVeterans 🇺🇸🙏🇮🇱",United States,,"#Governors #OpenAmerica #Trump2020 #Trump #mondaythoughts

#NewYork Virus Hospitalizations Drop Below 10,000: Gover… https://t.co/JZIO4Lp83y",,PaulineGoUSA,2012-08-14T22:05:56,9967,1257400336505016321,2020-05-04T20:02:56,0,000000,0.0,0.0
390,Embrace the glorious mess that you are,United States,,@Laura_A_Diaz @elisabethlehem @KomiRichard You basically excuse what Komi said in order to take a stab at Trump.,,Sequoia_Red,2011-12-06T05:00:42,219,1257400337364914176,2020-05-04T20:02:56,0,1A1B1F,-0.05,0.05
391,"REI; Internet and Social Media Enthusiast; Stock and Option Investing, with an eye on day trading in the Caribbean!; Music Lover and Player","Lake Hopatcong, NJ USA",,"Part of WHY #WeThePeople #WalkAwayFromDemocrats and leftists such as the politically moronic celebrity elitists, wh… https://t.co/tFGOpHeyH4",,wpear,2008-12-29T18:57:19,14754,1257400337109057536,2020-05-04T20:02:56,0,FFFFFF,0.0,0.3
392,Always Curious and investigator for the truth🐘!!!,"Miami Shores, FL",,"@axios It’s not only Trump in this,it’s the whole dam US intelligent Community getting this wrong,for instance, Sad… https://t.co/vUY9W1tzku",,DelJenkins10,2020-03-28T13:29:37,2,1257400337939533824,2020-05-04T20:02:56,0,F5F8FA,0.3333333333333333,0.7666666666666666
393,My birthday is August 1st,,,"style it may have had. If this show is influential, we truly are in for some rough times. I hope vulnerable creativ… https://t.co/FAOcTClOLn",,sdotglass,2007-11-30T12:41:24,16039,1257400339076177926,2020-05-04T20:02:56,0,C0DEED,-0.3,0.45
394,"When he gave you his bio, you thought it was fake, no matter how often, he read us The Snake!",,,@tedlieu @realDonaldTrump It’s like tRump has no clue. Also that td doesn’t care! As well that no GOP member will h… https://t.co/pZuFgzV6oV,,JustAMazen,2018-05-04T09:29:30,919,1257400339143196675,2020-05-04T20:02:56,0,F5F8FA,0.0,0.0
395,,Macau,,"@willmenaker @yashalevine Honestly, the only twitter lefty never Trump Republicans have done more to fight fascism… https://t.co/WcguBCBNWQ",,HoHauWah,2019-09-17T02:30:47,43,1257400340556767232,2020-05-04T20:02:57,0,F5F8FA,0.3666666666666667,0.7999999999999999
396,,"Florida, USA",,@TomFitton @JudicialWatch I Don't Blame Trump For Fighting Back Against The Media https://t.co/wnkVrbwHnv,,JerryLangender1,2018-09-02T18:51:27,32,1257400342347689989,2020-05-04T20:02:57,0,F5F8FA,0.0,0.0
397,"Professor, University of Washington College of Education.","Seattle, Washington",,@noradaexploraa @TheRickWilson @Scavino45 https://t.co/kHf1oNR3PT,,zeichnerkm,2009-06-09T13:21:25,502,1257400342758567936,2020-05-04T20:02:57,0,000000,0.0,0.0
398,"Holding Arizona's Electeds Accountable (including the Unelected Senator, Martha McSally) Facebook: McSally Take a Stand http://www.RepresentMeAZ.com","Tucson, AZ",,@SenMcSallyAZ https://t.co/mK39pnzLzv,,RepresentMeAZ,2017-03-15T17:28:42,4187,1257400343073370117,2020-05-04T20:02:57,0,F5F8FA,0.0,0.0
399,Daily Kos Contributing Editor. Very Serious Person,Northern California,,This graph bothers the hell out of me b'c it clearly shows that the 'model' being used is undercounted actual death… https://t.co/n86BHVcHmQ,,HunterDK,2009-03-17T05:06:04,8652,1257400659273383936,2020-05-04T20:04:13,0,1A1B1F,0.05000000000000001,0.24166666666666664
400,12 yrs US Navy. E7 15 yrs As a Contractor. This is the best - Wisconsin,Wisconsin ,,"I like that idea. Are you sleeping well at night. I seriously doubt he will use a firing squad, on the other hand",,BurdgesW,2017-01-06T20:30:29,192,1257400659613298688,2020-05-04T20:04:13,0,F5F8FA,-0.22916666666666666,0.5208333333333333
401,,,,@subversive_pub @VerminSupreme It just seems like he wants to be a great 3rd option for the people. I’ve felt that… https://t.co/JvYEqEMAfC,,jason57816,2020-01-09T20:57:32,0,1257400659944628224,2020-05-04T20:04:13,0,F5F8FA,0.3333333333333333,0.2833333333333333
402,Proud to be an American!!!⭐️⭐️⭐️💕💕💕🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,,,Did you have to change your handle @JackPosobiec ?   And Lemonis a dirtbag,,brixsix,2009-07-01T14:37:58,1628,1257400660108218369,2020-05-04T20:04:13,0,C0DEED,0.0,0.0
403,I am Satan Lucifer in physical form. I have ability to make republicans say stupid things at public hearings,Everywhere at the same time,,Donni trump shut the hell up https://t.co/PMzP8HJCSo,,AaronBeattie12,2017-06-09T17:40:34,7,1257400660242444289,2020-05-04T20:04:13,0,000000,0.0,0.0
404,GEORGE ORWELL - 1984 É AGORA!,,,Ele ouviu o Bolsonaro ontem. Resolveu subir o tom.,,JuniorNarses,2020-03-02T12:07:29,307,1257400660863135744,2020-05-04T20:04:13,0,F5F8FA,0.0,0.0
405,"Trying to find some semblance of truth despite entropy. Parent, Higher Ed, dyslexia, dyscalculia, research, non-partisan, opinions are my own. she/her",Pennsylvania,,"@PrettyGinger1 @mmpadellan Thank you for opening your mind!  There are good people in both parties, but Trump is in a party all his own.",,amandamodrovsky,2014-02-01T14:18:52,29,1257400661228077057,2020-05-04T20:04:13,0,C0DEED,0.6499999999999999,0.8
406,"You make your own past, like it or not! But your past doesn't have to make you! #TheResistance #NeverAgain #BlackLivesMatter #MarchForOurLives #March4OurLives","Vancouver, WA",,Internal Chinese report warns Beijing faces Tiananmen-like global backlash over virus. IMO: We’ve witnessed Trump’s… https://t.co/yt2GNef6vf,,JoeMomma833,2015-09-06T17:32:22,3865,1257400661228085249,2020-05-04T20:04:13,0,C0DEED,0.0,0.0
407,Release the Murder Hornets! 🇨🇦,Canada,,Bad actors can be persuasive but never let them convince you into doxxing yourself on the internet.,,mnl_mordfasdfdf,2020-04-01T02:59:39,33,1257400661865639944,2020-05-04T20:04:13,0,F5F8FA,-0.6999999999999998,0.6666666666666666
408,"Travel Nurse.. Get to see the country and make money... 
Home: Florida 
Currently: Where he asked me to be.... Oops","Southwest, FL",,@ddale8 Yess because people can easily get Trump's number to call him,,str8jenn4,2020-02-06T18:54:19,62,1257400663241302017,2020-05-04T20:04:14,0,F5F8FA,0.43333333333333335,0.8333333333333334
409,"Puff, puff; virtual pass",,,"@DrDenaGrayson Greed, racism and cruelty.  That's what drives everything in the Trump administration.   They're hop… https://t.co/wfLPjEBp2h",,DubheHerb,2020-04-25T01:30:01,2,1257400663488815109,2020-05-04T20:04:14,0,F5F8FA,0.0,0.0
410,,,,"@realDonaldTrump Cramer calls out ignorant dangerous IMPOTUS on raising further tariffs against China.

https://t.co/44nuo2zVCf",,hdotard,2019-08-03T11:34:49,5,1257400664034082818,2020-05-04T20:04:14,0,F5F8FA,-0.3,0.7
411,"Trump's applying an embargo on Venezuelan oil+Venezuela's ONLY income is from oil sales=TRUMP CAUSED A FAMINE OF+20MM PPL.,LIKE MY FAMILY & I. LIFT THE EMBARGO!",Venezuela. MEDICINA=MEDICINE,,"@laloalcaraz It makes me think: Having covered all their needs, makes the most of the people insensitive and selfis… https://t.co/VDIgGAfFKG",,panasalce,2016-10-04T02:48:03,341,1257400664050802695,2020-05-04T20:04:14,0,000000,0.5,0.5
